feature,mean_gain,folds_with_nonzero_gain
sales_rolling_mean_7_shift_16,5761.4622802734375,4
sales_lag_21,1592.0765991210938,4
sales_rolling_mean_28_shift_16,1370.0906372070312,4
is_year_start,848.4909057617188,4
sales_lag_28,758.3696899414062,4
sales_lag_35,150.96709823608398,4
onpromotion,87.4428596496582,4
day_of_year,57.20652198791504,4
sales_rolling_std_28_shift_16,52.55036544799805,4
is_weekend,51.67484760284424,4
day_of_week,25.88989782333374,4
sales_lag_16,24.926131010055546,4
family,22.307987928390503,4
sales_lag_364,21.79848599433899,4
is_national_holiday,21.435636520385746,4
is_month_start,20.828346252441406,4
month,17.244140148162842,4
time_index,15.771923780441284,4
week_of_year,15.030479192733765,4
is_holiday,14.739974737167358,4
year,12.754210710525513,4
quarter,12.083111763000488,4
is_additional,10.94340682029724,4
type,10.736994743347168,4
oil_price_7_day_mean_shift_16,9.047759652137756,4
city,8.838526368141174,4
day,8.756477117538452,4
is_month_end,8.707519769668579,4
store_nbr,8.34840452671051,4
is_special_day,7.7731112241744995,4
cluster,7.046595692634583,4
state,6.629466772079468,4
is_transfer,6.5975117683410645,4
oil_price_lag_16,6.229178428649902,4
is_event,5.149923324584961,4
oil_price_lag_16_was_missing,4.874632298946381,4
is_year_end,3.605530083179474,4
is_local_holiday,2.5734800696372986,4
is_regional_holiday,1.5173026025295258,4
is_bridge,1.491667240858078,4
is_work_day,0.891315758228302,3
