family,total_sales,average_sales,median_sales,record_count,zero_sales_count
GROCERY I,3.4346272e+08,3776.972,3185.0,90936,7332
BEVERAGES,2.1695448e+08,2385.793,1784.0,90936,7331
PRODUCE,1.2270469e+08,1349.3522,398.2905,90936,25785
CLEANING,9.752129e+07,1072.4167,938.0,90936,7331
DAIRY,6.4487708e+07,709.1549,520.0,90936,7331
BREAD/BAKERY,4.2133944e+07,463.33624,401.0,90936,7330
POULTRY,3.1876004e+07,350.5323,205.74301,90936,7344
MEATS,3.1086468e+07,341.84998,224.9365,90936,7331
PERSONAL CARE,2.4592052e+07,270.43253,222.0,90936,7334
DELI,2.4110322e+07,265.13507,218.9715,90936,7331
HOME CARE,1.6022744e+07,176.19803,143.0,90936,37201
EGGS,1.5588296e+07,171.42052,131.0,90936,7331
FROZEN FOODS,1.4073888e+07,154.76695,83.0,90936,7358
PREPARED FOODS,8.799895e+06,96.7702,63.96,90936,7351
"LIQUOR,WINE,BEER",7.74664e+06,85.18783,47.0,90936,16246
SEAFOOD,2.0154319e+06,22.16319,8.0,90936,17604
GROCERY II,1.962767e+06,21.584047,12.0,90936,11015
HOME AND KITCHEN I,1.861491e+06,20.470343,12.0,90936,31505
HOME AND KITCHEN II,1.52067e+06,16.72242,9.0,90936,31567
CELEBRATION,761177.0,8.370469,3.0,90936,39679
LINGERIE,653114.0,7.182128,5.0,90936,14592
LADIESWEAR,651159.0,7.1606293,0.0,90936,54422
PLAYERS AND ELECTRONICS,562608.0,6.1868567,2.0,90936,40818
AUTOMOTIVE,554822.0,6.101236,5.0,90936,11626
LAWN AND GARDEN,548842.0,6.0354757,1.0,90936,42544
PET SUPPLIES,356584.0,3.9212632,0.0,90936,49665
BEAUTY,337893.0,3.715723,2.0,90936,23900
SCHOOL AND OFFICE SUPPLIES,269316.0,2.9615993,0.0,90936,67368
MAGAZINES,266359.0,2.929082,0.0,90936,51414
HARDWARE,103470.0,1.1378332,1.0,90936,43524
HOME APPLIANCES,41601.0,0.45747557,0.0,90936,66854
BABY CARE,10051.0,0.11052828,0.0,90936,85599
BOOKS,6438.0,0.07079704,0.0,90936,88167
