feature,gain
sales_rolling_mean_7_shift_16,6196.58935546875
sales_lag_21,1589.4659423828125
sales_rolling_mean_28_shift_16,1481.4442138671875
is_year_start,883.14404296875
sales_lag_28,858.3506469726562
sales_lag_35,198.2170867919922
onpromotion,92.66360473632812
day_of_year,60.11039352416992
sales_rolling_std_28_shift_16,55.81956481933594
is_weekend,49.097015380859375
day_of_week,27.40477752685547
sales_lag_364,25.18041229248047
sales_lag_16,23.57019805908203
is_national_holiday,23.46857452392578
family,21.052366256713867
is_month_start,20.802576065063477
month,16.286611557006836
week_of_year,16.182796478271484
time_index,16.032257080078125
is_holiday,15.241138458251953
quarter,11.6397066116333
year,11.55636978149414
is_additional,10.8667573928833
type,10.175665855407715
store_nbr,9.556757926940918
day,9.200240135192871
oil_price_7_day_mean_shift_16,8.825684547424316
is_month_end,8.461480140686035
city,8.261552810668945
is_special_day,8.137702941894531
cluster,8.117721557617188
is_transfer,7.61426305770874
state,7.568503379821777
is_year_end,6.669650554656982
oil_price_lag_16,6.4873528480529785
is_event,5.744866847991943
oil_price_lag_16_was_missing,5.594888687133789
is_local_holiday,2.4802982807159424
is_regional_holiday,1.7825140953063965
is_bridge,1.6108074188232422
is_work_day,1.419823169708252
